IND,0.5396,0.1126,791,165,510
OKK,0.8000,0.2000,4,1,0
OKJ,0.6667,0.0000,2,0,1
GLH,0.9487,0.0256,37,1,1
DOH,0.2600,0.0467,39,7,104
DOL,1.0000,0.0000,1,0,0
DOM,0.2353,0.0588,4,1,12
GLA,0.3623,0.1594,25,11,33
GLD,1.0000,0.0000,5,0,0
AKJ,1.0000,0.0000,1,0,0
AKO,1.0000,0.0000,1,0,0
AKL,0.5289,0.1244,119,28,78
GLR,1.0000,0.0000,1,0,0
GLS,1.0000,0.0000,22,0,0
GLT,1.0000,0.0000,1,0,0
BSL,0.7105,0.0526,27,2,9
BSH,0.0000,1.0000,0,1,0
BSB,0.3000,0.0000,3,0,7
AUA,0.2740,0.1301,80,38,174
HST,0.0000,1.0000,0,2,0
AUG,0.7059,0.1176,12,2,3
AUH,0.4545,0.0682,60,9,63
AUS,0.4764,0.1037,859,187,757
AUW,1.0000,0.0000,2,0,0
SBP,0.9458,0.0181,576,11,22
MMY,0.0000,0.0000,0,0,1
MMX,1.0000,0.0000,2,0,0
PUJ,0.3750,0.0709,111,21,164
MMU,0.0000,1.0000,0,6,0
PUF,0.0000,0.0000,0,0,1
SBY,0.8175,0.0438,112,6,19
CAI,0.1432,0.0025,58,1,346
PUB,0.9444,0.0556,34,2,0
MML,0.0000,1.0000,0,1,0
SBA,0.8427,0.0637,450,34,50
MMH,0.8485,0.0076,112,1,19
MMJ,1.0000,0.0000,7,0,0
MME,1.0000,0.0000,5,0,0
SBH,0.1579,0.3684,3,7,9
PUW,0.4737,0.0000,9,0,10
SBN,0.7310,0.1241,106,18,21
PUQ,0.6667,0.0833,16,2,6
PUS,0.6207,0.0000,18,0,11
KOJ,1.0000,0.0000,2,0,0
BAQ,0.4828,0.0172,28,1,29
KOA,0.1495,0.3725,61,152,195
BAG,1.0000,0.0000,1,0,0
XIC,0.0000,0.0000,0,0,1
ERC,0.0000,0.0000,0,0,1
KOS,0.6667,0.0000,4,0,2
ERH,0.0000,0.0000,0,0,1
ERI,0.6800,0.0667,51,5,19
BAH,0.3519,0.0370,38,4,66
VPS,0.5909,0.0818,130,18,72
YFC,0.6667,0.0000,4,0,2
VPZ,1.0000,0.0000,2,0,0
STD,1.0000,0.0000,2,0,0
YPS,1.0000,0.0000,1,0,0
YPQ,0.6667,0.3333,2,1,0
STC,1.0000,0.0000,28,0,0
STL,0.5713,0.0944,829,137,485
STM,0.0000,0.0000,0,0,1
STN,0.4737,0.1579,9,3,7
STO,0.8333,0.1667,5,1,0
STI,0.0474,0.0632,9,12,169
STK,1.0000,0.0000,7,0,0
STT,0.2092,0.1323,68,43,214
STV,0.2500,0.0000,1,0,3
STW,0.0000,0.0000,0,0,3
STR,0.3448,0.3103,10,9,10
STS,0.7727,0.0985,102,13,17
STX,0.0796,0.1504,9,17,87
JXN,1.0000,0.0000,2,0,0
KLV,1.0000,0.0000,1,0,0
NCY,0.3333,0.6667,1,2,0
TFN,0.1250,0.3750,1,3,4
QLS,0.0000,1.0000,0,1,0
NCL,0.5000,0.0000,6,0,6
QLH,0.0000,1.0000,0,1,0
NCE,0.4646,0.0808,46,8,45
TFS,0.5714,0.0000,4,0,3
QLA,1.0000,0.0000,1,0,0
FNT,0.6687,0.0875,107,14,39
YQL,0.8000,0.0000,4,0,1
LIL,0.5714,0.4286,4,3,0
LIM,0.3251,0.0519,119,19,228
LIN,0.6875,0.0312,88,4,36
LIO,0.0000,1.0000,0,1,0
LIH,0.2576,0.3889,102,154,140
VFA,0.5000,0.0000,6,0,6
LIT,0.5774,0.1253,235,51,121
FNC,0.2727,0.0909,3,1,7
LIR,0.4317,0.2143,139,69,114
LIS,0.3906,0.0601,91,14,128
FNL,0.6250,0.3750,10,6,0
HAR,1.0000,0.0000,2,0,0
FNI,1.0000,0.0000,1,0,0
QPA,0.0000,1.0000,0,1,0
WTB,0.0000,0.0000,0,0,1
SUM,1.0000,0.0000,1,0,0
TPE,0.3291,0.0000,77,0,157
TPA,0.3390,0.1871,1158,639,1619
TPL,1.0000,0.0000,1,0,0
HRL,0.5370,0.1389,58,15,35
HRO,1.0000,0.0000,14,0,0
HRI,1.0000,0.0000,2,0,0
TPQ,0.1667,0.0000,1,0,5
TPP,0.2000,0.0000,1,0,4
HRE,0.2800,0.0000,7,0,18
HRG,0.7895,0.0000,15,0,4
HRB,0.0000,0.0000,0,0,11
KAO,0.0000,0.0000,0,0,1
RHI,0.8182,0.0000,9,0,2
XNB,0.0000,0.0000,0,0,4
RHO,0.0000,0.2000,0,1,4
KIR,1.0000,0.0000,10,0,0
SUS,1.0000,0.0000,2,0,0
HFA,0.5455,0.4545,6,5,0
KUF,0.0000,0.0000,0,0,1
ZWS,0.0000,0.0000,0,0,1
RTB,0.4643,0.0714,13,2,13
RTM,0.8571,0.1429,6,1,0
YQR,0.5294,0.1176,9,2,6
ENA,0.3636,0.3636,4,4,3
RFP,1.0000,0.0000,1,0,0
OXR,0.7115,0.2885,37,15,0
BKG,0.9951,0.0049,204,1,0
ENV,1.0000,0.0000,5,0,0
RFD,0.8108,0.1892,30,7,0
OXF,0.3333,0.6667,1,2,0
OXC,0.0000,1.0000,0,3,0
CZX,1.0000,0.0000,4,0,0
CZL,1.0000,0.0000,1,0,0
CZM,0.4583,0.1250,33,9,30
ATL,0.4313,0.1404,2224,724,2209
ISP,0.7733,0.1533,116,23,11
ATH,0.3784,0.0849,98,22,139
IST,0.4240,0.0424,120,12,151
ATW,0.8000,0.0762,84,8,13
ISO,1.0000,0.0000,7,0,0
ISN,0.4545,0.1364,10,3,9
ISM,0.0000,1.0000,0,3,0
ATQ,0.4000,0.0000,2,0,3
ISB,0.0000,0.0000,0,0,22
BKK,0.4366,0.0073,358,6,456
ATZ,0.0000,0.0000,0,0,1
ATY,0.8750,0.0000,7,0,1
PVR,0.2712,0.1292,147,70,325
PVU,0.4444,0.5556,4,5,0
SEZ,0.5000,0.3333,6,4,2
PVA,1.0000,0.0000,1,0,0
PVC,0.8667,0.0667,13,1,1
JKH,0.0000,0.0000,0,0,1
PVD,0.6870,0.0883,428,55,140
PVG,0.1048,0.0000,33,0,282
PVF,1.0000,0.0000,6,0,0
SEL,1.0000,0.0000,27,0,0
CLL,0.8795,0.0241,73,2,8
CLM,0.9667,0.0333,29,1,0
FRA,0.4018,0.1173,137,40,164
CLO,0.2892,0.1566,24,13,46
FRG,0.0000,1.0000,0,2,0
CLJ,0.2857,0.1429,2,1,4
FRD,1.0000,0.0000,3,0,0
CLD,0.9412,0.0588,16,1,0
CLE,0.4629,0.1221,474,125,425
PDT,0.9714,0.0286,34,1,0
